address,id,latitude,longitude,city,name,zip code,brand,WiFi,Bagels in the Bou,Nitro on Tap,Order Ahead,Gluten-Free Offerings,Drive-Thru,Gluten Free Offerings,Limited Coffee Menu,Catering
"612 South Minnesota Avenue St. Peter, MN",8865582,44.321902318614335,-93.96046131849289,St. Peter,Family Fresh Market - St. Peter,56082,Caribou,1,0,0,0,0,0,0,0,0
"23520 Highway 7 Shorewood, MN",8865472,44.89277403610274,-93.58002483844763,Shorewood,Shorewood - Hwy 7,55331,Caribou,1,1,0,1,1,0,0,0,0
"5663 Manitou Road Excelsior, MN",8865466,44.90120345262917,-93.58850732445717,Tonka Bay,Tonka Village,55331,Caribou,1,1,0,1,1,1,0,0,0
"1127 Larpenteur Avenue W Roseville, MN",8865382,44.99270168940479,-93.14762055873871,Roseville,Roseville - Lexington & Larpenteur,55113,Caribou,1,1,1,1,1,0,0,0,0
"917 Washington Avenue SE Minneapolis, MN",8865345,44.9741264,-93.2248368,Minneapolis,Stadium Village,55414,Caribou,0,1,1,1,1,0,0,0,0
"604 Washington Ave. SE Minneapolis, MN",10128890,44.9734628,-93.2298591,Minneapolis,Coffee & Bagels Harvard & Washington,55414,Caribou,0,0,0,1,0,0,0,0,0
"515 Delaware Street SE Minneapolis, MN",8865609,44.97299566497258,-93.23165090674593,Minneapolis,University Of Minnesota - Moos Tower,55455,Caribou,1,0,0,0,0,0,0,0,0
"1925 4th Street S Minneapolis, MN",9990966,44.9695911,-93.2445968,Minneapolis,UMN - Hanson Hall,55455,Caribou,0,0,0,0,0,0,0,0,0
"4745 Cedar Avenue South Minneapolis, MN",8865359,44.916571392832736,-93.2469280064106,Minneapolis,Minneapolis - Cedar & Minnehaha,55407,Caribou,0,1,1,1,1,1,0,0,0
"550 S 4th Street Minneapolis, MN",8865350,44.976938597570914,-93.26192423701286,Minneapolis,Coffee & Bagels Wells Fargo Tower,55415,Caribou,1,0,0,0,1,0,0,1,1
"200 South 6th Street Minneapolis, MN",8865353,44.976923418597664,-93.26784253120422,Minneapolis,US Bank Plaza,55402,Caribou,1,1,1,1,1,0,0,0,0
"222 South 9th Street Minneapolis, MN",8865351,44.97374523257511,-93.26994806528097,Minneapolis,Cambell Mithun Tower,55402,Caribou,1,1,0,1,1,0,0,0,0
"109 South 7th Street Minneapolis, MN",8865347,44.9756681025866,-93.27090204662704,Minneapolis,Baker Center,55402,Caribou,1,1,0,1,1,0,0,0,0
"555 Nicollet Mall Minneapolis, MN",8865356,44.97813392909969,-93.27092573046684,Minneapolis,RBC Plaza,55402,Caribou,1,1,1,0,1,0,0,0,0
"651 Nicollet Mall Minneapolis, MN",8865355,44.977257355081704,-93.27142059803009,Minneapolis,Gaviidae,55402,Caribou,1,1,0,1,1,0,0,0,0
"6545 Lyndale Avenue S Richfield, MN",8865363,44.88380840956616,-93.28594207763672,Richfield,Coffee & Bagels Lyndale Station,55423,Caribou,0,0,0,1,0,0,0,0,0
"4606 Nicollet Avenue South Minneapolis, MN",8865362,44.91946120831772,-93.27837288379669,Minneapolis,46th & Nicollet,55419,Caribou,1,1,1,1,1,0,0,0,0
"12569 Wayzata Boulevard Minnetonka, MN",8865479,44.968004,-93.437157,Minnetonka,Ridgedale Kiosk,55305,Caribou,1,1,0,0,1,0,0,0,0
"1700 Plymouth Road Minnetonka, MN",8865482,44.96712075755921,-93.44329118728638,Minnetonka,Coffee & Bagels Minnetonka - Plymouth Road,55305,Caribou,0,0,0,1,0,0,0,0,0
"13081 Ridgedale Drive Minnetonka, MN",8865718,44.96844535401098,-93.44717236441807,Minnetonka,Lunds & Byerlys - Ridgedale,55305,Caribou,0,0,0,0,0,0,0,0,0
"11210 Wayzata Boulevard Minnetonka, MN",8865480,44.97358963924426,-93.42183619737625,Minnetonka,West Ridge Plaza,55305,Caribou,1,1,1,1,1,0,0,0,0
"11400 Highway 7 Minnetonka, MN",8865730,44.93394892976536,-93.42588096857077,Minnetonka,Lunds & Byerlys - Hwy 7 Minnetonka,55343,Caribou,0,0,0,0,0,0,0,0,0
"1601 Highway 7 Hopkins, MN",8865497,44.933694895485175,-93.42017638825746,Hopkins,Hopkins - Highway 7,55305,Caribou,1,1,0,1,1,0,0,0,0
"1 General Mills Boulevard Golden Valley, MN",8865418,44.976069594880826,-93.39627742767334,Golden Valley,General Mills - Not open to the public,55426,Caribou,0,1,0,1,1,0,0,0,0
"10160 6th Avenue North Plymouth, MN",8865440,44.9855863,-93.4097186,Plymouth,Plymouth - Hwy 55 and Revere,55441,Caribou,1,1,0,1,1,0,0,0,0
"8208 Highway 7 St. Louis Park, MN",8865499,44.9368793,-93.3837013,St. Louis Park,Knollwood Mall,55426,Caribou,1,1,0,1,1,0,0,0,0
"1151 East Wayzata Boulevard Wayzata, MN",8865711,44.97242647084845,-93.50025594234467,Wayzata,Lunds & Byerlys - Wayzata,55391,Caribou,0,0,0,0,0,0,0,0,0
"2720 Annapolis Circle Plymouth, MN",8865443,45.00930430661773,-93.4505908191204,Plymouth,Plymouth Pointe Plaza,55441,Caribou,0,1,1,1,1,1,0,0,0
"3434 County Road 101 Minnetonka, MN",8865477,44.9410702,-93.5027964,Minnetonka,Cty Rd 101 & Minnetonka Blvd,55345,Caribou,0,1,1,1,1,1,0,0,0
"14444 Excelsior Boulevard Minnetonka, MN",8865502,44.9060251350328,-93.46365451812744,Minnetonka,Glenhaven,55345,Caribou,1,1,0,1,1,0,0,0,0
"1650 Park Place Boulevard St. Louis Park, MN",8865719,44.9662046,-93.3499028,St. Louis Park,Park Place,55416,Caribou,1,0,1,1,1,0,0,0,0
"5551 West Lake Street St. Louis Park, MN",8865496,44.94829821674884,-93.34995836019516,St. Louis Park,Lake & Minnetonka Boulevard,55416,Caribou,1,1,1,1,1,0,0,0,0
"5330 Cedar Lake Road St. Louis Park, MN",8865481,44.96303487204271,-93.34794402122503,St. Louis Park,St. Louis Park - Cedar Lake Road,55416,Caribou,1,1,1,1,1,1,0,0,0
"609 East Lake Street Wayzata, MN",8865476,44.969749006638686,-93.51323649287224,Wayzata,Wayzata - East Lake Street,55391,Caribou,1,1,1,1,1,0,0,0,0
"1400 County Road 101 N Plymouth, MN",8865434,44.99451694587268,-93.50108206272125,Plymouth,Highway 6 & 101,55447,Caribou,1,1,0,1,1,0,0,0,0
"5816 Lincoln Drive Edina, MN",8865501,44.89849416600501,-93.40010225772863,Edina,Highway 169 & Bren,55436,Caribou,1,1,0,1,1,0,0,0,0
"9900 Bren Road East Minnetonka, MN",8865732,44.8973532255488,-93.4033852815628,Minnetonka,UHG Bren Road - Not open to the public,55343,Caribou,0,0,0,0,0,0,0,0,0
"12880 Elm Creek Boulevard Maple Grove, MN",8865677,45.09649987937476,-93.44425678253174,Maple Grove,Lunds & Byerlys - Maple Grove,55369,Caribou,1,0,0,0,0,0,0,0,0
"11627 Fountains Drive Maple Grove, MN",8865428,45.09303767213527,-93.42736288905138,Maple Grove,Arbor Lakes,55369,Caribou,1,1,0,1,1,0,0,0,0
"13384 Bass Lake Road Maple Grove, MN",8865681,45.06880343044313,-93.44977559755324,Maple Grove,Bass Lake & 494 with Bruegger's Bagels,55311,Caribou,1,0,0,0,0,1,0,0,0
"12850 Bass Lake Road Maple Grove, MN",8865444,45.066019189615005,-93.44256430864328,Maple Grove,Bass Lake Road & Sycamore Lane,55369,Caribou,1,1,0,1,1,0,0,0,0
"325 Clydesdale Trail Medina, MN",8865435,45.0447058,-93.531279,Medina,Clydesdale Marketplace,55340,Caribou,1,1,1,1,1,1,0,0,0
"4130 Berkshire Lane Plymouth, MN",8865425,45.03015448845169,-93.45549551787678,Plymouth,Rockford Road,55446,Caribou,1,1,0,1,1,0,0,0,0
"3500 Vicksburg Lane Plymouth, MN",8865445,45.02038995255288,-93.48021447658539,Plymouth,Highway 55 & Vicksburg,55447,Caribou,1,1,0,1,1,0,0,0,0
"3455 Vicksburg Lane Plymouth, MN",8865673,45.0200217,-93.4849406,Plymouth,Lunds & Byerlys - Plymouth,55447,Caribou,1,0,0,0,0,0,0,0,0
"16725 County Road 24 Plymouth, MN",9235536,45.01964010609636,-93.49322319030756,Plymouth,Plymouth Station,55447,Caribou,1,1,1,1,1,0,0,0,0
"4345 Nathan Lane North Plymouth, MN",8865442,45.03374429560309,-93.40901255607605,Plymouth,Plymouth - Rockford Road & Nathan Lane,55442,Caribou,1,1,1,1,1,1,0,0,0
"9420 36th Avenue North New Hope, MN",8865441,45.0226324,-93.399587,New Hope,New Hope - 169 & 36th Avenue,55427,Caribou,1,1,0,1,1,0,0,0,0
"4210 Winnetka Avenue New Hope, MN",8865448,45.03374619109391,-93.37994948029524,New Hope,42nd & Winnetka,55428,Caribou,1,1,0,1,1,0,0,0,0
"1400 Babcock Boulevard Delano, MN",8865682,45.0370339,-93.7684866,Delano,Coborn's - Delano,55328,Caribou,1,0,0,0,0,0,0,0,0
"5401 Shoreline Drive Mound, MN",8865473,44.93610496913864,-93.6609336733818,Mound,Mound - Shoreline Drive,55364,Caribou,0,1,1,1,1,1,0,0,0
"701 3rd Avenue NE Buffalo, MN",8865449,45.179395645515314,-93.87240841984749,Buffalo,Coffee & Bagels Buffalo,55313,Caribou,0,0,0,1,0,0,0,0,0
"2073 West Wayzata Boulevard Long Lake, MN",8865474,44.9881849,-93.5787096,Long Lake,Long Lake - Wayzata Blvd,55356,Caribou,1,1,1,1,1,1,0,0,0
"3333 Shoreline Drive Navarre, MN",8865716,44.93391854906371,-93.60878348350525,Orono,Lunds & Byerlys - Navarre,55391,Caribou,0,0,0,0,0,0,0,0,0
"4754 County Road 101 Minnetonka, MN",8865475,44.91785820012901,-93.50394397974014,Minnetonka,7 HI,55345,Caribou,1,1,1,1,1,1,0,0,0
"6001 Shady Oak Road Minnetonka, MN",8865498,44.894704560427456,-93.41971457004547,Minnetonka,Shady Oak 2 - Minnetonka Crossings,55343,Caribou,0,1,1,1,1,1,0,0,0
"11000 Optum Circle Eden Prairie, MN",8865733,44.8906629259742,-93.41684192419052,Eden Prairie,United Health Group - Optum Building - Not open to the public,55344,Caribou,1,0,0,0,0,0,0,0,0
"5000 Vernon Avenue Edina, MN",12007345,44.9122189,-93.3546054,Edina,Interlachen & Vernon,55436,Caribou,1,1,1,1,1,1,0,0,0
"5350 Excelsior Boulevard St. Louis Park, MN",8865727,44.9317406,-93.3477526,St. Louis Park,Park Village,55416,Caribou,1,0,0,1,1,0,0,0,0
"5125 Edina Industrial Boulevard Edina, MN",8865483,44.863489,-93.3538224,Edina,Coffee & Bagels Edina-77th,55439,Caribou,0,0,0,1,0,0,0,0,0
"7171 France Avenue S Edina, MN",8865720,44.8736152,-93.3283462,Edina,Lunds & Byerlys - France Avenue Edina,55435,Caribou,1,0,0,0,0,0,0,0,0
"7101 France Avenue S Edina, MN",8865725,44.8744137159636,-93.32807421684265,Edina,Rue De France,55435,Caribou,1,0,0,1,1,0,0,0,0
"5184 Southdale Center Edina, MN",8865494,44.8810765,-93.3255388,Edina,Southdale Cart,55435,Caribou,1,1,0,0,1,0,0,0,0
"6803 York Avenue South Edina, MN",8865495,44.87921483742138,-93.32057476043701,Edina,Yorkdale Shoppes,55435,Caribou,1,1,0,1,1,0,0,0,0
"800 Nicollet Mall Minneapolis, MN",8865349,44.975942468928984,-93.27369779348373,Minneapolis,US Bancorp,55402,Caribou,1,1,0,1,1,0,0,0,0
"50 South 10th Street Minneapolis, MN",11245879,44.9746434,-93.27526080000001,Minneapolis,Retek,55403,Caribou,0,1,1,1,1,0,0,0,0
"900 2nd Avenue South Minneapolis, MN",8865354,44.97375294146627,-93.27175888937023,Minneapolis,Oracle Centre,55402,Caribou,0,1,0,1,1,0,0,0,0
"1100 Nicollet Avenue Minneapolis, MN",8865352,44.9729482,-93.2758319,Minneapolis,Coffee & Bagels 11th & Nicollet,55403,Caribou,0,0,0,1,0,0,0,0,0
"1201 Hennepin Avenue Minneapolis, MN",8865608,44.974300179229,-93.28069197668651,Minneapolis,Lunds & Byerlys - Downtown Minneapolis,55403,Caribou,0,0,0,0,0,0,0,0,0
"2300 Hennepin Avenue Minneapolis, MN",8865358,44.9597999272041,-93.29415231943125,Minneapolis,22nd & Hennepin,55405,Caribou,1,1,1,1,1,0,0,0,0
"1450 West Lake Street Minneapolis, MN",8865616,44.94867408264967,-93.29990833997721,Minneapolis,Lunds & Byerlys - Uptown Minneapolis,55408,Caribou,1,0,0,0,0,0,0,0,0
"3044 Excelsior Boulevard Minneapolis, MN",8865341,44.947475289630056,-93.32131907343864,Minneapolis,Lake & Excelsior,55416,Caribou,1,1,1,1,1,0,0,0,0
"4408 France Avenue S Edina, MN",8865729,44.92210873291562,-93.32929864525795,Edina,Edina - 44th And France,55424,Caribou,1,0,0,1,0,0,0,0,0
"4999 France Avenue South Edina, MN",8865340,44.91331293493962,-93.3287957310676,Minneapolis,50th & France,55410,Caribou,1,1,1,1,1,0,0,0,0
"3945 West 50th Street Edina, MN",8865726,44.91172305192856,-93.33053648471838,Edina,Lunds & Byerlys - 50th Street Edina,55424,Caribou,1,0,0,0,0,0,0,0,0
"6228 Penn Avenue South Richfield, MN",8865606,44.889444869486276,-93.30922901630402,Richfield,Lunds & Byerlys - Richfield,55423,Caribou,1,0,0,0,0,0,0,0,0
"3777 Park Center Boulevard St. Louis Park, MN",8865728,44.93499515537011,-93.3467584848404,St. Louis Park,Lunds & Byerlys - St. Louis Park,55416,Caribou,0,0,0,0,0,0,0,0,0
"5725 Duluth Street Golden Valley, MN",8865680,44.99878266707627,-93.35280418395996,Golden Valley,Lunds & Byerlys - Golden Valley,55422,Caribou,0,0,0,0,0,0,0,0,0
"7601 Penn Avenue South Richfield, MN",8865343,44.86373375116909,-93.30574080348015,Richfield,Best Buy - Main Lobby - Not open to the public,55423,Caribou,0,1,0,1,1,0,0,0,0
"7601 Penn Avenue S Richfield, MN",8865342,44.8633232,-93.3043516,Richfield,Best Buy - Cafeteria Kiosk - Not open to the public,55423,Caribou,0,1,0,1,1,0,0,0,0
"1100 MN-15 Hutchinson, MN",8865308,44.8745482,-94.3762949,Hutchinson,Coffee & Bagels Hutchinson,55350,Caribou,0,0,0,1,0,0,0,0,0
"1020 Hwy 15 South Hutchinson, MN",8865555,44.87751757462169,-94.37923729419708,Hutchinson,Cash Wise - Hutchinson,55350,Caribou,1,0,0,0,0,0,0,0,0
