address,id,latitude,longitude,city,name,zip code,brand,WiFi,Bagels in the Bou,Nitro on Tap,Order Ahead,Gluten-Free Offerings,Drive-Thru,Gluten Free Offerings,Limited Coffee Menu,Catering
"112 Chieftain Street Osceola, Wi",8865665,45.32024537201568,-92.70403146743774,Osceola,Dick's Fresh Market - Osceola,54020,Caribou,1,0,0,0,0,0,0,0,0
"10400 Baltimore Street Blaine, MN",8865459,45.159244,-93.2342489,Blaine,Blaine - 105th Avenue NE,55449,Caribou,1,1,1,1,1,1,0,0,0
"113 Village Center Drive North Oaks, MN",8865621,45.0801477,-93.1147351,North Oaks,North Oaks,55127,Caribou,1,0,0,1,1,0,0,0,0
"8200 Coral Sea Street NE Mounds View, MN",8865679,45.1186749902348,-93.19925844669336,Mounds View,Medtronic - Not open to the public,55112,Caribou,0,0,0,1,0,0,0,0,0
"5911 St. Croix Trail North Branch, MN",8865388,45.51056119486808,-92.98851996660227,North Branch,Coffee & Bagels North Branch,55056,Caribou,0,0,0,1,0,0,0,0,0
"2585 County Road 10 Mounds View, MN",8865458,45.10774658055022,-93.21228727698326,Mounds View,Mounds View - County Rd 10,55112,Caribou,1,1,1,1,1,1,0,0,0
"1966 Bunker Lake Boulevard NW Andover, MN",8865454,45.2190509,-93.3158708,Andover,Andover Marketplace East,55304,Caribou,1,1,1,1,1,1,0,0,0
"8097 Highway 65 Spring Lake Park, MN",8865457,45.114814,-93.2410201,Spring Lake Park,Spring Lake Park - Hwy 65,55432,Caribou,1,1,1,1,1,1,0,0,0
"1835 Gateway Drive Coon Rapids, MN",8865453,45.18533390055165,-93.31321746110916,Coon Rapids,Coon Rapids - Hanson Blvd & Gateway Drive,55433,Caribou,1,1,1,1,1,1,0,0,0
"8601 Springbrook Drive Blaine, MN",8865452,45.126267900001366,-93.26636463403702,Blaine,Springbrook,55433,Caribou,1,1,0,1,1,0,0,0,0
"3354 Rice Street Little Canada, MN",8865381,45.0430438,-93.1057177,Little Canada,Little Canada - Rice Street,55126,Caribou,1,1,1,1,1,1,0,0,0
"3868 150th Street West Rosemount, MN",8865373,44.7312104,-93.1435842,Rosemount,Rosemount Commons,55068,Caribou,1,1,1,1,1,1,0,0,0
"15730 Emperor Ave. Apple Valley, MN",14983120,44.7204096,-93.17508869999999,Apple Valley,Cobblestone Lake,55124,Caribou,0,0,0,0,0,0,0,0,0
"17605 Glasgow Avenue Lakeville, MN",8865468,44.6941903,-93.215088,Lakeville,Lakeville - Cedar & Dodd,55044,Caribou,1,1,1,1,1,0,0,0,0
