brand,id,city,address,zip code,latitude,longitude,name,ownership,storeNumber,Drive-Thru,Oven-warmed Food,Mobile Payment,LaBoulange,Google Wi-Fi,Mobile Order and Pay,Music Experience,Nitro Cold Brew,Lunch,My Starbucks Rewards,Playbook Store System,tbd - Blonde Espresso,Digital Rewards,Bakery,Wireless Hotspot,Verismo,Starbucks Reserve-Clover Brewed,tbd - Coffee Scale
Starbucks,14598,St. Paul,1062 Grand Ave.,55105,44.939827,-93.144813,St. Paul-Grand Ave & Oxford St,CO,10156-99311,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
Starbucks,1015668,St. Paul,1261 Grand Avenue,55105,44.940066,-93.153601,Kowalski's - St. Paul,LS,47124-248644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,7654,St. Paul,1300 University Ave.,55401,44.954349,-93.155397,Target - St. Paul T-2229,LS,76771-108255,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
Starbucks,1015750,Vadnais Heights,1016 E Hwy 96,55127,45.078811,-93.05713,Hwy 96 and Centerville Road,CO,25515-241175,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
Starbucks,1010267,St. Paul,234 Snelling Avenue North,55104,44.948278,-93.166716,Snelling and Marshall,CO,2211-236704,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
Starbucks,90221,St. Paul,1536 Hewitt Avenue,55104,44.966316,-93.165565,Hamline University,LS,17498-147376,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Starbucks,1018258,Eagan,1480 Central Park Commons Dr.,55122,44.835508,-93.169568,Yankee Doodle and Pilot Knob Road,CO,2469-256466,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,1015936,Eagan,Yankee Doodle Road / Pilot Knob Road,55122,44.83464,-93.171668,Hy Vee - Eagan #1165,LS,47509-257827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,17650,St. Paul,2078 Ford Parkway,55116,44.917571,-93.187866,2078 Ford Parkway,CO,276-1490,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
Starbucks,8481,Roseville,1515 W County Rd. B,55113,45.007743,-93.16476,Target Roseville ST-2101,LS,76441-90372,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
Starbucks,6680,Roseville,1820 Hwy 36,55113,45.007638,-93.176366,Hwy 36 and Fairview Avenue,CO,13624-106909,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,1009391,Roseville,900 Rosedale Ctr.,55113,45.012394,-93.174095,Macy's-Rosedale #233,LS,23753-154129,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Starbucks,18398,Roseville,2305 Fairview Avenue,55113,45.011115,-93.17761,NWC Hwy 36 and Fairview,CO,2209-658,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,1024692,St. Paul,4300 Glumack Drive,55111,44.882495,-93.204981,MSPTerminal 1 Gate C12,LS,56034-289853,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0
Starbucks,16472,Shoreview,3800 N Lexington Ave.,55126,45.055847,-93.144711,Target Shoreview ST-619,LS,72645-32261,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Starbucks,1016545,Shoreview,441 Hwy 96 W,55126,45.079517,-93.119852,Kowalski's @ Shoreview,LS,49710-266984,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Starbucks,1007202,Arden Hills,3833 Lexington Ave. N,55126,45.05709,-93.147875,Lexington and Red Fox - Arden Hills,CO,21376-209526,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0
Starbucks,11440,St. Paul,4300 Glumack Drive,55111,44.882841,-93.211272,MSP Terminal 1 Baggage Claim D6,LS,75587-80343,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Starbucks,1023917,St. Paul,4300 Glumack Dr.,55111,44.883386,-93.212077,MSP Term 1 Promenade Food Court,LS,56036-289676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,18637,Eagan,1646 Diffley Road,55122,44.804256,-93.18662,Kowalski's - Eagan,LS,70341-140691,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
Starbucks,8251,Rosemount,14903 South Robert Trail,55068,44.732547,-93.127758,Rosemount - CR 42 & Hwy 3,CO,9652-97788,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
Starbucks,17611,Lino Lakes,749 Apollo Dr.,55014,45.182992,-93.105463,Target Lino Lakes ST-1448,LS,72677-64263,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Starbucks,1006267,Forest Lake,356 12th St. SW,55025,45.274578,-92.998835,Target Forest Lake T-1244,LS,20343-204765,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Starbucks,9379,Forest Lake,2009 W Broadway Ave.,55025,45.283415,-93.009329,Forest Lake,CO,2621-61481,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,1020064,St. Anthony,3704 Silver Lake Rd. NE,55421,45.03725,-93.219058,St Anthony - 37th & Silver Lake Rd,CO,48827-265350,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
Starbucks,7584,Minneapolis,1650 New Brighton Blvd.,55413,45.004796,-93.229939,Target Minneapolis T-1095,LS,76653-94395,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Starbucks,12486,Minneapolis,615 Washington Ave. SE,55414,44.973956,-93.229931,U of MN - 615 Washington Ave SE,CO,2488-21281,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
Starbucks,90220,Minneapolis,207 Church St. SE,55455,44.974612,-93.233625,University of Minnesota-Lind Hall,LS,17122-175084,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Starbucks,1026203,Eagan,2000 Cliff Lake Rd.,55122,44.791669,-93.205937,TARGET EAGAN T-0360,LS,60648-292368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,1008939,Eagan,3965 Eagan Outlets Parkway,55122,44.814819,-93.214363,Twin Cities Premium Outlets,CO,20688-204064,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
Starbucks,9224,Eagan,2040 Cliff Rd.,55122,44.789625,-93.210388,2040 Cliff Road - Eagan,CO,2619-53139,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
Starbucks,10528,Apple Valley,15560 Pilot Knob Rd.,55124,44.72374,-93.17661,Target Apple Vly South ST-239,LS,76896-121294,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0
Starbucks,1015119,Lakeville,16150 Pilot Knob Road,55044,44.715145,-93.173822,Hy-Vee - Lakeville #1356,LS,26713-243085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,1020366,Minneapolis,Msp Terminal 2 Gate H5,55450,44.874012,-93.228642,MSP Terminal 2 GateH6,LS,29476-253064,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Starbucks,13666,Bloomington,164 E Broadway,55425,44.854558,-93.24063,164 E. Broadway - 1st level MOA,CO,2705-84660,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
Starbucks,1015526,Bloomington,60 E Broadway,55425,44.856582,-93.241804,MOA 3rd Floor C310,CO,26122-243619,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
Starbucks,8249,Bloomington,276 West Market Street,55425,44.855062,-93.243339,Mall of America II,CO,10077-98295,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,1018181,Apple Valley,7525 147th St. W,55124,44.735446,-93.218497,Apple Valley - Cedar and 147th,CO,49954-271967,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0
Starbucks,12798,Blaine,1500 109th Ave. NE,55449,45.165493,-93.233396,Target Blaine ST-1832,LS,76115-88842,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Starbucks,1008734,Blaine,1384 109th Avenue,55434,45.167868,-93.235885,109th and Hwy 65 - Blaine,CO,20107-189627,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
Starbucks,12271,Andover,2000 Bunker Lake Blvd. NW,55304,45.21944,-93.31616,Target Andover T-2025,LS,76316-95687,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
