,brand,city,id,latitude,longitude,zip code
0,Caribou,Hudson,8865412,44.96131896972656,-92.72457122802734,NaN
1,Caribou,Hudson,8865666,44.96423721313477,-92.72671508789062,NaN
2,Caribou,Hudson,8865411,44.9658203125,-92.7219696044922,NaN
3,Caribou,Woodbury,8865396,44.94397735595703,-92.90470886230469,55125
4,Caribou,Woodbury,8865631,44.920799255371094,-92.93841552734376,55125
5,Caribou,Woodbury,8865374,44.94239807128906,-92.93206787109376,55125
6,Caribou,Oakdale,8865394,44.95184326171875,-92.93504333496094,55128
7,Caribou,River Falls,8865667,44.85665130615234,-92.6274871826172,NaN
8,Caribou,Woodbury,8865630,44.92718124389648,-92.9638214111328,55125
9,Caribou,Prescott,8865664,44.762550354003906,-92.78936004638672,NaN
10,Caribou,Stillwater,8865377,45.03901672363281,-92.8420639038086,55082
11,Caribou,Oakdale,8865395,44.962867736816406,-92.9636001586914,55128
12,Caribou,Oakdale,8865399,45.020755767822266,-92.98436737060548,55128
13,Caribou,Isanti,8865676,45.4915771484375,-93.2355728149414,NaN
14,Caribou,Cambridge,8865450,45.57319641113281,-93.20516967773438,NaN
15,Caribou,Andover,8865454,45.21906280517578,-93.31582641601562,55304
16,Caribou,North Branch,8865388,45.51056289672852,-92.98851776123048,NaN
17,Caribou,Blaine,8865455,45.196495056152344,-93.23568725585938,55434
18,Caribou,Anoka,8865427,45.21760559082031,-93.35823822021484,55303
19,Caribou,Ramsey,8865430,45.22546768188477,-93.39810180664062,55303
20,Caribou,Coon Rapids,8865453,45.18533325195313,-93.31321716308594,55448
21,Caribou,Coon Rapids,8865424,45.19697570800781,-93.35545349121094,55448
22,Caribou,Coon Rapids,8865460,45.18049240112305,-93.31802368164062,55433
23,Caribou,Northfield,8865580,44.45540237426758,-93.16545104980469,55057
24,Caribou,Hastings,8865620,44.73701477050781,-92.89376068115234,55033
25,Caribou,Red Wing,8865619,44.564598083496094,-92.53946685791016,NaN
26,Caribou,Rosemount,8865373,44.73123550415039,-93.14366149902344,55068
27,Caribou,Lakeville,8865468,44.694190979003906,-93.215087890625,55044
28,Caribou,Faribault,8865571,44.29527282714844,-93.29704284667969,NaN
29,Caribou,Apple Valley,8865469,44.73643112182617,-93.21703338623048,55124
30,Caribou,Lakeville,8865492,44.68175888061523,-93.28812408447266,55044
31,Caribou,Lakeville,9061076,44.689903259277344,-93.28116607666016,55044
32,Caribou,Lakeville,8865489,44.69602584838867,-93.2854995727539,55044
33,Caribou,Inver Grove Heights,8865380,44.81909942626953,-93.03863525390624,55076
34,Caribou,Anoka,8865451,45.19953918457031,-93.39286041259766,55303
35,Caribou,Ramsey,8865429,45.23519134521485,-93.4694595336914,55303
36,Caribou,Blaine,8865459,45.15924453735352,-93.23424530029295,55434
37,Caribou,Lino Lakes,8865402,45.18236541748047,-93.10789489746094,55014
38,Caribou,Blaine,8865456,45.1635971069336,-93.159912109375,55449
39,Caribou,St.Paul,8865679,45.1186752319336,-93.19925689697266,55112
40,Caribou,Mounds View,8865458,45.10774612426758,-93.21228790283205,55112
41,Caribou,North Oaks,8865621,45.08014678955078,-93.11473846435548,55127
42,Caribou,White Bear Lake,10853384,45.08139038085938,-93.05542755126952,55127
43,Caribou,Spring Lake Park,8865457,45.11481475830078,-93.24102020263672,55432
44,Caribou,White Bear Lake,8865376,45.0786247253418,-93.05463409423828,55127
45,Caribou,Cottage Grove,8865398,44.83304977416992,-92.96006774902344,55016
46,Caribou,Inver Grove Heights,8865386,44.86583709716797,-93.05611419677734,55076
47,Caribou,Prior Lake,8865713,44.70641326904297,-93.4286651611328,55372
48,Caribou,Prior Lake,8865715,44.73058700561523,-93.47434997558594,55372
49,Caribou,Savage,8865461,44.74516677856445,-93.37901306152344,55378
50,Caribou,Burnsville,8865470,44.74413299560547,-93.28914642333984,55306
51,Caribou,Burnsville,8865712,44.73859405517578,-93.27022552490234,55306
52,Caribou,Burnsville,8865504,44.73799896240234,-93.25862121582031,55337
53,Caribou,White Bear Lake,8865375,45.08517837524414,-93.0108642578125,55110
54,Caribou,Osceola,8865665,45.32024383544922,-92.70403289794922,NaN
55,Caribou,Eagan,8865629,44.824974060058594,-93.11298370361328,55123
56,Caribou,Eagan,10919820,44.85111999511719,-93.10858917236328,55121
57,Caribou,Eagan,8865379,44.83296585083008,-93.15361785888672,55123
58,Caribou,White Bear Lake,8865385,45.0506591796875,-92.9856948852539,55110
59,Caribou,Maplewood,8865401,45.03533935546875,-93.01705932617188,55109
60,Caribou,Maplewood,8865400,45.03169631958008,-93.02195739746094,55109
61,Caribou,Woodbury,9061075,44.94615173339844,-92.9838638305664,55125
62,Caribou,New Richmond,8865663,45.11869812011719,-92.53868865966795,NaN
63,Caribou,West St. Paul,8865378,44.91021347045898,-93.08123779296876,55118
64,Caribou,St. Paul,8865622,44.9517822265625,-93.01043701171876,55119
65,Caribou,Mendota Heights,8865403,44.884525299072266,-93.120361328125,55118
66,Caribou,Eagan,8865404,44.82687759399414,-93.16573333740234,55123
67,Caribou,Eagan,8865628,44.83631896972656,-93.1583251953125,55121
68,Caribou,Eagan,8865627,44.791114807128906,-93.21724700927734,55122
69,Caribou,Eagan,8865389,44.85398483276367,-93.13114166259766,55121
70,Caribou,Elk River,8865675,45.32335662841797,-93.55934143066406,55330
71,Caribou,Elk River,8865433,45.3193244934082,-93.56383514404295,55330
72,Caribou,Elk River,8865415,45.30036544799805,-93.55480194091795,55330
73,Caribou,Princeton,8865426,45.55685043334961,-93.58406829833984,NaN
