address,id,latitude,longitude,city,name,zip code,Drive-Thru,Bagels in the Bou,Order Ahead,WiFi,Nitro on Tap,Catering,Walk-Up Window
"701 3rd Avenue NE Buffalo, MN",8865449,45.17939376831055,-93.87240600585938,Buffalo,Coffee & Bagels Buffalo,55313,1,1,0,1,0,1,0
"2073 West Wayzata Boulevard Long Lake, MN",8865474,44.98818588256836,-93.5787124633789,Long Lake,Long Lake - Wayzata Blvd,55356,1,1,1,1,0,0,0
"3333 Shoreline Drive Navarre, MN",8865716,44.93391799926758,-93.60877990722656,Navarre,Lunds & Byerlys - Navarre,55391,0,0,0,0,0,0,0
"5663 Manitou Road Excelsior, MN",8865466,44.90120315551758,-93.58850860595703,Excelsior,Tonka Village,55331,1,1,1,1,0,0,0
"23520 Highway 7 Shorewood, MN",8865472,44.89277267456055,-93.58002471923828,Shorewood,Shorewood - Hwy 7,55331,0,1,1,1,0,0,0
"609 East Lake Street Wayzata, MN",8865476,44.969749450683594,-93.51323699951172,Wayzata,Wayzata - East Lake Street,55391,0,1,1,1,1,0,0
"4754 County Road 101 Minnetonka, MN",8865475,44.9178581237793,-93.50394439697266,Minnetonka,7 HI,55345,1,1,1,1,1,0,0
"3434 County Road 101 Minnetonka, MN",8865477,44.941070556640625,-93.50279998779297,Minnetonka,Cty Rd 101 & Minnetonka Blvd,55345,1,1,1,0,0,0,0
"16506 West 78th Street Eden Prairie, MN",8865500,44.86347198486328,-93.48721313476562,Eden Prairie,Eden Prairie - West 78th,55344,0,1,1,1,0,0,0
"16725 County Road 24 Plymouth, MN",9235536,45.0196418762207,-93.49322509765625,Plymouth,Plymouth Station,55447,0,1,1,1,0,0,0
"3455 Vicksburg Lane Plymouth, MN",8865673,45.01999282836914,-93.4852523803711,Plymouth,Lunds & Byerlys - Plymouth,55447,0,0,0,1,0,0,0
"3500 Vicksburg Lane Plymouth, MN",8865445,45.020389556884766,-93.48021697998047,Plymouth,Highway 55 & Vicksburg,55447,0,1,1,1,0,0,0
"6001 Shady Oak Road Minnetonka, MN",8865498,44.89470291137695,-93.41971588134766,Minnetonka,Shady Oak 2 - Minnetonka Crossings,55343,1,1,1,0,1,0,0
"11000 Optum Circle Eden Prairie, MN",8865733,44.890663146972656,-93.41683959960938,Eden Prairie,United Health Group - Optum Building - Not open to the public,55344,0,0,0,1,0,0,0
"9900 Bren Road East Minnetonka, MN",8865732,44.89735412597656,-93.40338897705078,Minnetonka,UHG Bren Road - Not open to the public,55343,0,0,0,0,0,0,0
"5816 Lincoln Drive Edina, MN",8865501,44.898494720458984,-93.40010070800781,Edina,Highway 169 & Bren,55436,0,1,1,1,0,0,0
"14444 Excelsior Boulevard Minnetonka, MN",8865502,44.90602493286133,-93.46365356445312,Minnetonka,Glenhaven,55345,0,1,1,1,0,0,0
"970 Prairie Center Drive Eden Prairie, MN",8865731,44.86518859863281,-93.44255828857422,Eden Prairie,Lunds & Byerlys - Eden Prairie,55344,0,0,0,0,0,0,0
"11611 Leona Road Eden Prairie, MN",8865503,44.85902404785156,-93.42486572265625,Eden Prairie,Eden Prairie - Leona & Flying Cloud Drive,55344,1,1,1,1,0,0,0
"13250 Technology Drive Eden Prairie, MN",8865493,44.859230041503906,-93.4424819946289,Eden Prairie,Eden Prairie Transit Station,55344,0,1,1,1,0,0,0
"8251 Flying Cloud Drive Eden Prairie, MN",8865734,44.85430908203125,-93.42449188232422,Eden Prairie,Eden Prairie Center,55344,0,0,0,1,0,0,0
"5125 Edina Industrial Boulevard Edina, MN",8865483,44.863487243652344,-93.35382080078125,Edina,Coffee & Bagels Edina-77th,55439,1,1,0,1,0,1,0
"8000 Norman Center Drive Bloomington, MN",8865478,44.85244369506836,-93.35169219970703,Bloomington,Bloomington - 8000 Tower,55437,0,1,1,1,0,0,0
"1400 County Road 101 N Plymouth, MN",8865434,44.9945182800293,-93.50108337402344,Plymouth,Highway 6 & 101,55447,0,1,1,1,0,0,0
"100 South 5th Street Minneapolis, MN",8865346,44.9783935546875,-93.2686538696289,Minneapolis,Minneapolis - 5th Street Towers,55402,0,1,1,1,0,0,0
"50 South 6 Street Minneapolis, MN",8865357,44.97835159301758,-93.27191162109375,Minneapolis,Fifty South Sixth - Dorsey Tower,55402,0,1,1,1,0,0,0
"555 Nicollet Mall Minneapolis, MN",8865356,44.97813415527344,-93.27092742919922,Minneapolis,RBC Plaza,55402,0,1,0,1,1,0,0
"651 Nicollet Mall Minneapolis, MN",8865355,44.977256774902344,-93.27142333984375,Minneapolis,Gaviidae,55402,0,1,1,1,0,0,0
"501 5th Street North Minneapolis, MN",8865344,44.983726501464844,-93.27882385253906,Minneapolis,Target Field Station,55401,0,1,1,1,1,0,0
"200 South 6th Street Minneapolis, MN",8865353,44.976924896240234,-93.2678451538086,Minneapolis,US Bank Plaza,55402,0,1,1,1,1,0,0
"109 South 7th Street Minneapolis, MN",8865347,44.975669860839844,-93.27090454101562,Minneapolis,Baker Center,55402,0,1,1,1,0,0,0
"800 Nicollet Mall Minneapolis, MN",8865349,44.9759407043457,-93.27369689941406,Minneapolis,US Bancorp,55402,0,1,1,1,0,0,0
"222 South 9th Street Minneapolis, MN",8865351,44.9737434387207,-93.26995086669922,Minneapolis,Cambell Mithun Tower,55402,0,1,1,1,0,0,0
"900 2nd Avenue South Minneapolis, MN",8865354,44.973751068115234,-93.27175903320312,Minneapolis,Oracle Centre,55402,0,1,1,0,0,0,0
"50 South 10th Street Minneapolis, MN",11245879,44.97464370727539,-93.27526092529297,Minneapolis,Retek,55403,0,1,1,0,0,0,0
"1201 Hennepin Avenue Minneapolis, MN",8865608,44.974300384521484,-93.28069305419922,Minneapolis,Lunds & Byerlys - Downtown Minneapolis,55403,0,0,0,0,0,0,0
"1100 Nicollet Avenue Minneapolis, MN",8865352,44.97294998168945,-93.27583312988281,Minneapolis,Coffee & Bagels 11th & Nicollet,55403,0,1,0,1,0,1,0
"2300 Hennepin Avenue Minneapolis, MN",8865358,44.959800720214844,-93.29415130615234,Minneapolis,22nd & Hennepin,55405,0,1,1,1,1,0,0
"1450 West Lake Street Minneapolis, MN",8865616,44.948673248291016,-93.29991149902344,Minneapolis,Lunds & Byerlys - Uptown Minneapolis,55408,0,0,0,1,0,0,0
"3044 Excelsior Boulevard Minneapolis, MN",8865341,44.94747543334961,-93.32131958007812,Minneapolis,Lake & Excelsior,55416,0,1,1,1,1,0,0
"4745 Cedar Avenue South Minneapolis, MN",8865359,44.91657257080078,-93.2469253540039,Minneapolis,Minneapolis - Cedar & Minnehaha,55407,1,1,1,0,1,0,0
"4606 Nicollet Avenue South Minneapolis, MN",8865362,44.91946029663086,-93.27837371826172,Minneapolis,46th & Nicollet,55419,0,1,1,1,1,0,0
"4408 France Avenue S Edina, MN",8865729,44.9221076965332,-93.32929992675781,Edina,Edina - 44th And France,55424,0,0,1,1,0,0,0
"4999 France Avenue South Edina, MN",8865340,44.91331481933594,-93.32879638671875,Edina,50th & France,55410,0,1,1,1,1,0,0
"3945 West 50th Street Edina, MN",8865726,44.91172409057617,-93.33053588867188,Edina,Lunds & Byerlys - 50th Street Edina,55424,0,0,0,1,0,0,0
"6228 Penn Avenue South Richfield, MN",8865606,44.88944625854492,-93.3092269897461,Richfield,Lunds & Byerlys - Richfield,55423,0,0,0,1,0,0,0
"5350 Excelsior Boulevard St. Louis Park, MN",8865727,44.931739807128906,-93.3477554321289,St. Louis Park,Park Village,55416,0,0,1,1,0,0,0
"3777 Park Center Boulevard St. Louis Park, MN",8865728,44.934993743896484,-93.34675598144531,St. Louis Park,Lunds & Byerlys - St. Louis Park,55416,0,0,0,0,0,0,0
"5551 West Lake Street St. Louis Park, MN",8865496,44.948299407958984,-93.34996032714844,St. Louis Park,Lake & Minnetonka Boulevard,55416,0,1,1,1,1,0,0
"5725 Duluth Street Golden Valley, MN",8865680,44.998783111572266,-93.3528060913086,Golden Valley,Lunds & Byerlys - Golden Valley,55422,0,0,0,0,0,0,0
"5330 Cedar Lake Road St. Louis Park, MN",8865481,44.963035583496094,-93.34794616699219,St. Louis Park,St. Louis Park - Cedar Lake Road,55416,1,1,1,1,1,0,0
"1650 Park Place Boulevard St Louis Park, MN",8865719,44.96620559692383,-93.34989929199219,St Louis Park,Park Place,55416,0,0,1,1,0,0,0
"6545 Lyndale Avenue S Richfield, MN",8865363,44.88380813598633,-93.28594207763672,Richfield,Coffee & Bagels Lyndale Station,55423,1,1,0,1,0,1,0
"6803 York Avenue South Edina, MN",8865495,44.879215240478516,-93.32057189941406,Edina,Yorkdale Shoppes,55435,0,1,1,1,0,0,0
"7950 Penn Avenue South Bloomington, MN",8865488,44.859283447265625,-93.30948638916016,Bloomington,Penn & 79th,55431,1,1,1,1,1,0,0
"7601 Penn Avenue S Richfield, MN",8865342,44.86332321166992,-93.30435180664062,Richfield,Best Buy - Cafeteria Kiosk - Not open to the public,55423,0,1,0,0,0,0,0
"7601 Penn Avenue South Richfield, MN",8865343,44.86373519897461,-93.30574035644531,Richfield,Best Buy - Main Lobby - Not open to the public,55423,0,1,1,0,0,0,0
"4210 Winnetka Avenue New Hope, MN",8865448,45.03374481201172,-93.37995147705078,New Hope,42nd & Winnetka,55428,0,1,1,1,0,0,0
"351 Willow Bend Crystal, MN",8865439,45.05439758300781,-93.368896484375,Crystal,Crystal Shopping Center,55428,0,1,1,1,0,0,0
"9420 36th Avenue North New Hope, MN",8865441,45.02263259887695,-93.39958953857422,New Hope,New Hope - 169 & 36th Avenue,55427,0,1,1,1,0,0,0
"4345 Nathan Lane North Plymouth, MN",8865442,45.03374481201172,-93.40901184082031,Plymouth,Plymouth - Rockford Road & Nathan Lane,55442,1,1,1,1,0,0,0
"5184 Southdale Center Edina, MN",8865494,44.88107681274414,-93.3255386352539,Edina,Southdale Cart,55435,0,1,0,1,0,0,0
"7101 France Avenue S Edina, MN",8865725,44.874412536621094,-93.32807159423828,Edina,Rue De France,55435,0,0,1,1,0,0,0
"7171 France Avenue S Edina, MN",8865720,44.87361526489258,-93.3283462524414,Edina,Lunds & Byerlys - France Avenue Edina,55435,0,0,0,1,0,0,0
"2720 Annapolis Circle Plymouth, MN",8865443,45.00930404663086,-93.45059204101562,Plymouth,Plymouth Pointe Plaza,55441,1,1,1,0,0,0,0
"1020 Hwy 15 South Hutchinson, MN",8865555,44.87751770019531,-94.37923431396484,Hutchinson,Cash Wise - Hutchinson,55350,0,0,0,1,0,0,0
"1100 MN-15 Hutchinson, MN",8865308,44.874549865722656,-94.37629699707031,Hutchinson,Coffee & Bagels Hutchinson,55350,1,1,0,1,0,1,0
"612 South Minnesota Avenue St. Peter, MN",8865582,44.321903228759766,-93.96046447753906,St. Peter,Family Fresh Market - St. Peter,56082,0,0,0,1,0,0,0
"1850 Adams Street Mankato, MN",8865572,44.173118591308594,-93.95305633544922,Mankato,Mankato Mall,56001,0,0,0,0,0,0,0
"1580 Madison Avenue Mankato, MN",8865324,44.167327880859375,-93.96503448486328,Mankato,Coffee & Bagels Madison Ave,56001,1,1,0,1,0,1,0
"1800 Madison Avenue Mankato, MN",8865579,44.16881561279297,-93.95537567138672,Mankato,Cub Foods - Mankato East,56001,0,0,0,1,0,0,0
"1901 Madison Avenue Mankato, MN",8865327,44.166542053222656,-93.9474105834961,Mankato,Mankato - Madison Avenue,56001,0,1,1,1,0,0,0
"39375 County Highway 24 Morton, MN",8865581,44.53147506713867,-94.99903106689453,Morton,Jackpot Junction,56270,0,0,0,1,0,0,0
"2319 1st Street South Willmar, MN",8865550,45.100276947021484,-95.0419692993164,Willmar,Willmar - 1st Street,56201,1,1,1,1,0,0,0
"1680 Warren Street Mankato, MN",8865325,44.14529800415039,-93.99407196044922,Mankato,University Square,56001,1,1,1,0,0,0,0
"425 8th Avenue NE Brainerd, MN",8865520,46.36315155029297,-94.17789459228516,Brainerd,Brainerd - 8th Avenue NE,56401,0,1,1,1,0,0,0
"14199 Edgewood Drive Baxter, MN",8865296,46.35770797729492,-94.245361328125,Baxter,Coffee & Bagels Baxter Marketplace,56425,1,1,0,1,0,1,0
"15175 Edgewood Drive Baxter, MN",8865521,46.371829986572266,-94.24551391601562,Baxter,Baxter - Grizzley's Center,56425,0,1,1,1,0,0,0
"1101 2nd Avenue NE Little Falls, MN",8865556,45.97753143310547,-94.34442138671875,Little Falls,Coborn's - Little Falls,56345,0,0,0,1,0,0,0
"2350 43rd Street NW Owatonna, MN",8865577,44.13782501220703,-93.25463104248047,Owatonna,Owatonna - 43rd Street,55060,1,1,1,0,0,0,0
"980 Cedar Street Baldwin, WI",8865669,44.95634078979492,-92.3739242553711,Baldwin,Nilssen's - Baldwin,54002,0,0,0,1,0,0,0
"2321 Highway 25 North Menomonie, WI",8865409,44.91183090209961,-91.93514251708984,Menomonie,Menomonie - Hwy 25,54751,1,1,1,1,0,0,0
"103 Oak Avenue Menomonie, WI",8865408,44.90326690673828,-91.93152618408203,Menomonie,Coffee & Bagels Oak Ave and Stout Street,54751,1,1,0,1,0,1,0
"1408 9th Street E Menomonie, WI",8865662,44.86978530883789,-91.91849517822266,Menomonie,Dick's Fresh Market - Menomonie,54751,0,0,0,1,0,0,0
"330 S Main Street Rice Lake, WI",8865661,45.49576187133789,-91.73494720458984,Rice Lake,Market Place Foods - Rice Lake,54868,0,0,0,1,0,0,0
"2615 North Clairemont Avenue Eau Claire, WI",8865670,44.82627487182617,-91.54173278808594,Eau Claire,Festival Foods - Eau Claire - Clairemont,54703,0,0,0,0,0,0,0
"807 W Clairemont Avenue Eau Claire, WI",8865410,44.792476654052734,-91.50940704345703,Eau Claire,Coffee & Bagels Clairemont & Stein,54701,1,1,0,1,0,1,0
"3938 Marketplace Drive NW Rochester, MN",8865315,44.06387710571289,-92.5009994506836,Rochester,Rochester - 41st Street and Highway 52,55901,0,1,1,1,0,0,0
"1593 North Broadway Avenue Rochester, MN",8865322,44.039363861083984,-92.4627456665039,Rochester,Coffee & Bagels River Center Plaza,55906,1,1,0,1,0,1,0
"1930 36th Avenue NW Rochester, MN",8865318,44.044189453125,-92.51702117919922,Rochester,Coffee & Bagels West Circle Drive,55901,1,1,0,1,0,1,0
